cod_dep;nom_dep;cod_mun;nom_mun;poblacion
05;Antioquia;05652;San Francisco;5981
25;Cundinamarca;25658;San Francisco;12314
86;Putumayo;86755;San Francisco;5643
68;Santander;68679;San Gil;60342
13;Bolívar;13654;San Jacinto;24910
13;Bolívar;13655;San Jacinto del Cauca;10800
05;Antioquia;05656;San Jerónimo;16268
68;Santander;68682;San Joaquín;2232
17;Caldas;17665;San José;4958
05;Antioquia;05658;San José de La Montaña;3823
68;Santander;68684;San José de Miranda;4336
15;Boyacá;15664;San José de Pare;5034
23;Córdoba;23682;San José de Uré;13930
18;Caquetá;18610;San José del Fragua;13237
95;Guaviare;95001;San José del Guaviare;57004
27;Chocó;27660;San José del Palmar;5001
50;Meta;50683;San Juan de Arama;8938
70;Sucre;70702;San Juan de Betulia;14387
25;Cundinamarca;25662;San Juan de Rioseco;8876
05;Antioquia;05659;San Juan de Urabá;21279
44;La Guajira;44650;San Juan del Cesar;50713
13;Bolívar;13657;San Juan Nepomuceno;39090
50;Meta;50686;San Juanito;1253
52;Nariño;52687;San Lorenzo;18395
05;Antioquia;05660;San Luis;13327
73;Tolima;73678;San Luis;13489
50;Meta;50223;San Luis de Cubarral;7126
15;Boyacá;15667;San Luis de Gaceno;5512
85;Casanare;85325;San Luis de Palenque;8423
70;Sucre;70742;San Luis de Sincé;32343
70;Sucre;70708;San Marcos;61412
20;Cesar;20770;San Martín;29367
50;Meta;50689;San Martín;26718
13;Bolívar;13667;San Martín de Loba;15114
15;Boyacá;15673;San Mateo;3153
86;Putumayo;86757;San Miguel;19703
68;Santander;68686;San Miguel;2505
15;Boyacá;15676;San Miguel de Sema;3032
70;Sucre;70713;San Onofre;51813
13;Bolívar;13670;San Pablo;29165
52;Nariño;52693;San Pablo;14789
15;Boyacá;15681;San Pablo de Borbur;6764
70;Sucre;70717;San Pedro;19475
76;Valle del Cauca;76670;San Pedro;17297
52;Nariño;52694;San Pedro de Cartago;6818
05;Antioquia;05664;San Pedro de Los Milagros;23244
05;Antioquia;05665;San Pedro de Urabá;32646
23;Córdoba;23686;San Pelayo;53427
05;Antioquia;05667;San Rafael;15906
05;Antioquia;05670;San Roque;21932
19;Cauca;19693;San Sebastián;11150
47;Magdalena;47692;San Sebastián de Buenavista;21013
73;Tolima;73443;San Sebastián de Mariquita;38448
68;Santander;68689;San Vicente de Chucurí;33965
18;Caquetá;18753;San Vicente del Caguán;53149
05;Antioquia;05674;San Vicente Ferrer;22818
47;Magdalena;47703;San Zenón;12632
52;Nariño;52683;Sandoná;19765
47;Magdalena;47707;Santa Ana;26475
05;Antioquia;05679;Santa Bárbara;27608
52;Nariño;52696;Santa Bárbara;13239
68;Santander;68705;Santa Bárbara;2475
